Image,Steering,Accelerate
Data/Image_1723634495794208 1121.jpg,52.0,161.0
Data/Image_1723634495837627 1122.jpg,53.0,159.0
Data/Image_1723634495859089 1123.jpg,53.0,159.0
Data/Image_1723634495909404 1124.jpg,55.0,174.0
Data/Image_172363449592592 1125.jpg,55.0,174.0
Data/Image_1723634495979467 1126.jpg,51.0,174.0
Data/Image_172363449599302 1127.jpg,51.0,176.0
Data/Image_1723634496039889 1128.jpg,43.0,176.0
Data/Image_1723634496058862 1129.jpg,43.0,176.0
Data/Image_1723634496110082 1130.jpg,35.0,176.0
Data/Image_1723634496125091 1131.jpg,35.0,176.0
Data/Image_1723634496170814 1132.jpg,35.0,177.0
Data/Image_1723634496191017 1133.jpg,35.0,177.0
Data/Image_1723634496244494 1134.jpg,35.0,182.0
Data/Image_1723634496257081 1135.jpg,35.0,182.0
Data/Image_1723634496293757 1136.jpg,35.0,182.0
Data/Image_1723634496339903 1137.jpg,34.0,184.0
Data/Image_1723634496359235 1138.jpg,34.0,184.0
Data/Image_1723634496409418 1139.jpg,29.0,184.0
Data/Image_1723634496425218 1140.jpg,29.0,184.0
Data/Image_1723634496469195 1141.jpg,35.0,188.0
Data/Image_1723634496491248 1142.jpg,35.0,188.0
Data/Image_1723634496537669 1143.jpg,35.0,197.0
Data/Image_1723634496558246 1144.jpg,35.0,197.0
Data/Image_1723634496606157 1145.jpg,38.0,205.0
Data/Image_1723634496626768 1146.jpg,38.0,205.0
Data/Image_1723634496674984 1147.jpg,44.0,197.0
Data/Image_172363449669317 1148.jpg,44.0,197.0
Data/Image_1723634496743518 1149.jpg,47.0,192.0
Data/Image_1723634496759035 1150.jpg,48.0,192.0
Data/Image_1723634496791615 1151.jpg,48.0,192.0
Data/Image_1723634496838123 1152.jpg,41.0,194.0
Data/Image_1723634496857231 1153.jpg,41.0,194.0
Data/Image_1723634496906134 1154.jpg,35.0,192.0
Data/Image_1723634496927268 1155.jpg,35.0,192.0
Data/Image_172363449697494 1156.jpg,35.0,194.0
Data/Image_1723634496992852 1157.jpg,35.0,194.0
Data/Image_1723634497043386 1158.jpg,34.0,198.0
Data/Image_172363449705849 1159.jpg,34.0,198.0
Data/Image_1723634497091617 1160.jpg,34.0,208.0
Data/Image_1723634497137652 1161.jpg,32.0,226.0
Data/Image_1723634497158864 1162.jpg,32.0,226.0
Data/Image_1723634497206581 1163.jpg,31.0,224.0
Data/Image_1723634497228137 1164.jpg,31.0,224.0
Data/Image_1723634497274791 1165.jpg,28.0,221.0
Data/Image_1723634497294183 1166.jpg,28.0,221.0
Data/Image_172363449734365 1167.jpg,28.0,222.0
Data/Image_1723634497358389 1168.jpg,31.0,222.0
Data/Image_1723634497403475 1169.jpg,31.0,233.0
Data/Image_1723634497427567 1170.jpg,31.0,233.0
Data/Image_1723634497458077 1171.jpg,31.0,233.0
Data/Image_1723634497506505 1172.jpg,31.0,232.0
Data/Image_1723634497526475 1173.jpg,31.0,232.0
Data/Image_1723634497574912 1174.jpg,35.0,234.0
Data/Image_1723634497592892 1175.jpg,35.0,234.0
Data/Image_1723634497643606 1176.jpg,35.0,241.0
Data/Image_1723634497658149 1177.jpg,35.0,241.0
Data/Image_172363449770329 1178.jpg,35.0,248.0
Data/Image_1723634497725498 1179.jpg,36.0,248.0
Data/Image_1723634497771244 1180.jpg,36.0,248.0
Data/Image_172363449779465 1181.jpg,36.0,248.0
Data/Image_1723634497839977 1182.jpg,36.0,241.0
Data/Image_1723634497859108 1183.jpg,36.0,245.0
Data/Image_172363449790975 1184.jpg,35.0,242.0
Data/Image_1723634497926394 1185.jpg,35.0,242.0
Data/Image_1723634497969699 1186.jpg,35.0,233.0
Data/Image_1723634497991565 1187.jpg,35.0,233.0
Data/Image_1723634498037662 1188.jpg,35.0,242.0
Data/Image_1723634498058335 1189.jpg,35.0,242.0
Data/Image_1723634498106233 1190.jpg,35.0,258.0
Data/Image_1723634498127 1191.jpg,35.0,258.0
Data/Image_1723634498175265 1192.jpg,35.0,265.0
Data/Image_1723634498194211 1193.jpg,35.0,265.0
Data/Image_1723634498243177 1194.jpg,34.0,276.0
Data/Image_172363449825957 1195.jpg,26.0,276.0
Data/Image_172363449830321 1196.jpg,26.0,277.0
Data/Image_172363449832551 1197.jpg,29.0,277.0
Data/Image_1723634498371396 1198.jpg,29.0,277.0
Data/Image_1723634498390585 1199.jpg,29.0,277.0
Data/Image_1723634498439851 1200.jpg,29.0,277.0
Data/Image_1723634498459237 1201.jpg,29.0,277.0
Data/Image_1723634498509339 1202.jpg,35.0,277.0
Data/Image_1723634498525435 1203.jpg,35.0,277.0
Data/Image_1723634498569703 1204.jpg,35.0,267.0
Data/Image_1723634498591941 1205.jpg,35.0,267.0
Data/Image_1723634498638078 1206.jpg,35.0,268.0
Data/Image_1723634498657983 1207.jpg,35.0,268.0
Data/Image_1723634498710308 1208.jpg,35.0,270.0
Data/Image_1723634498728738 1209.jpg,35.0,270.0
Data/Image_1723634498775115 1210.jpg,35.0,268.0
Data/Image_1723634498792671 1211.jpg,35.0,268.0
Data/Image_172363449884406 1212.jpg,35.0,267.0
Data/Image_172363449885836 1213.jpg,35.0,267.0
Data/Image_1723634498903602 1214.jpg,35.0,264.0
Data/Image_1723634498924594 1215.jpg,32.0,264.0
Data/Image_1723634498971423 1216.jpg,28.0,263.0
Data/Image_1723634498990389 1217.jpg,28.0,263.0
Data/Image_1723634499040012 1218.jpg,23.0,266.0
Data/Image_1723634499059382 1219.jpg,23.0,267.0
Data/Image_1723634499109304 1220.jpg,26.0,268.0
Data/Image_172363449912558 1221.jpg,26.0,268.0
Data/Image_1723634499169331 1222.jpg,32.0,269.0
Data/Image_1723634499191558 1223.jpg,32.0,269.0
Data/Image_172363449924462 1224.jpg,34.0,269.0
Data/Image_1723634499257493 1225.jpg,34.0,269.0
Data/Image_1723634499290544 1226.jpg,34.0,269.0
Data/Image_1723634499340278 1227.jpg,22.0,265.0
Data/Image_1723634499359875 1228.jpg,22.0,255.0
Data/Image_1723634499409245 1229.jpg,33.0,253.0
Data/Image_1723634499425598 1230.jpg,33.0,253.0
Data/Image_1723634499469315 1231.jpg,34.0,252.0
Data/Image_172363449949136 1232.jpg,34.0,252.0
Data/Image_1723634499537619 1233.jpg,29.0,258.0
Data/Image_1723634499558014 1234.jpg,29.0,258.0
Data/Image_1723634499606145 1235.jpg,27.0,260.0
Data/Image_1723634499626286 1236.jpg,27.0,260.0
Data/Image_1723634499674885 1237.jpg,34.0,252.0
Data/Image_1723634499696161 1238.jpg,34.0,252.0
Data/Image_1723634499743346 1239.jpg,36.0,246.0
Data/Image_1723634499760358 1240.jpg,35.0,246.0
Data/Image_172363449981135 1241.jpg,33.0,252.0
Data/Image_172363449982528 1242.jpg,33.0,252.0
Data/Image_1723634499871376 1243.jpg,28.0,256.0
Data/Image_1723634499893069 1244.jpg,28.0,256.0
Data/Image_1723634499939953 1245.jpg,26.0,262.0
Data/Image_172363449996038 1246.jpg,26.0,256.0
Data/Image_1723634500009329 1247.jpg,30.0,249.0
Data/Image_1723634500029527 1248.jpg,30.0,249.0
Data/Image_172363450007784 1249.jpg,31.0,249.0
Data/Image_1723634500094905 1250.jpg,31.0,249.0
Data/Image_1723634500137724 1251.jpg,35.0,248.0
Data/Image_1723634500160146 1252.jpg,35.0,248.0
Data/Image_1723634500206159 1253.jpg,35.0,248.0
Data/Image_1723634500225213 1254.jpg,35.0,248.0
Data/Image_1723634500275301 1255.jpg,35.0,246.0
Data/Image_1723634500294339 1256.jpg,35.0,246.0
Data/Image_1723634500343787 1257.jpg,35.0,229.0
Data/Image_1723634500361838 1258.jpg,36.0,229.0
Data/Image_1723634500411366 1259.jpg,36.0,191.0
Data/Image_1723634500426274 1260.jpg,36.0,191.0
Data/Image_1723634500471723 1261.jpg,36.0,155.0
Data/Image_1723634500494583 1262.jpg,36.0,155.0
Data/Image_1723634500539776 1263.jpg,35.0,117.0
Data/Image_1723634500561463 1264.jpg,35.0,104.0
Data/Image_1723634500609064 1265.jpg,32.0,76.0
Data/Image_1723634500628187 1266.jpg,32.0,76.0
Data/Image_1723634500677907 1267.jpg,24.0,69.0
Data/Image_1723634500693612 1268.jpg,24.0,69.0
Data/Image_1723634500746182 1269.jpg,23.0,71.0
Data/Image_1723634500759721 1270.jpg,23.0,71.0
Data/Image_1723634500806036 1271.jpg,21.0,67.0
Data/Image_1723634500825522 1272.jpg,21.0,67.0
Data/Image_1723634500874654 1273.jpg,24.0,56.0
Data/Image_172363450089455 1274.jpg,24.0,56.0
Data/Image_1723634500943189 1275.jpg,25.0,57.0
Data/Image_1723634500960758 1276.jpg,31.0,57.0
Data/Image_1723634501019736 1277.jpg,35.0,62.0
Data/Image_1723634501030315 1278.jpg,35.0,72.0
Data/Image_1723634501059339 1279.jpg,35.0,72.0
Data/Image_1723634501106443 1280.jpg,35.0,71.0
Data/Image_1723634501126335 1281.jpg,35.0,71.0
Data/Image_1723634501174822 1282.jpg,35.0,99.0
Data/Image_1723634501194455 1283.jpg,35.0,99.0
Data/Image_172363450124644 1284.jpg,35.0,118.0
Data/Image_1723634501260931 1285.jpg,35.0,118.0
Data/Image_1723634501314821 1286.jpg,35.0,131.0
Data/Image_1723634501327928 1287.jpg,35.0,131.0
Data/Image_17236345013609 1288.jpg,35.0,133.0
Data/Image_1723634501396974 1289.jpg,35.0,133.0
Data/Image_1723634501439541 1290.jpg,35.0,155.0
Data/Image_1723634501460824 1291.jpg,35.0,123.0
Data/Image_1723634501509216 1292.jpg,35.0,115.0
Data/Image_1723634501526864 1293.jpg,35.0,115.0
Data/Image_1723634501575005 1294.jpg,38.0,106.0
Data/Image_172363450159324 1295.jpg,38.0,106.0
Data/Image_1723634501625006 1296.jpg,38.0,106.0
Data/Image_1723634501671142 1297.jpg,44.0,119.0
Data/Image_1723634501698182 1298.jpg,44.0,119.0
Data/Image_172363450174458 1299.jpg,47.0,116.0
Data/Image_1723634501757365 1300.jpg,47.0,116.0
Data/Image_1723634501813107 1301.jpg,45.0,107.0
Data/Image_1723634501826329 1302.jpg,45.0,107.0
Data/Image_1723634501874915 1303.jpg,45.0,109.0
Data/Image_1723634501892308 1304.jpg,45.0,109.0
Data/Image_1723634501943521 1305.jpg,38.0,104.0
Data/Image_1723634501957692 1306.jpg,47.0,104.0
Data/Image_1723634502006014 1307.jpg,47.0,86.0
Data/Image_1723634502024426 1308.jpg,47.0,86.0
Data/Image_1723634502069421 1309.jpg,67.0,85.0
Data/Image_1723634502092749 1310.jpg,67.0,85.0
Data/Image_1723634502140865 1311.jpg,72.0,85.0
Data/Image_1723634502159348 1312.jpg,72.0,85.0
Data/Image_1723634502203794 1313.jpg,72.0,83.0
Data/Image_1723634502228713 1314.jpg,72.0,83.0
Data/Image_1723634502260921 1315.jpg,72.0,83.0
Data/Image_1723634502310891 1316.jpg,72.0,89.0
Data/Image_1723634502325741 1317.jpg,72.0,89.0
Data/Image_1723634502373305 1318.jpg,52.0,88.0
Data/Image_1723634502395338 1319.jpg,52.0,88.0
Data/Image_1723634502444013 1320.jpg,52.0,87.0
Data/Image_17236345024616 1321.jpg,45.0,87.0
Data/Image_1723634502506102 1322.jpg,45.0,133.0
Data/Image_1723634502527534 1323.jpg,45.0,133.0
Data/Image_1723634502577694 1324.jpg,52.0,154.0
Data/Image_1723634502593595 1325.jpg,52.0,154.0
Data/Image_1723634502625767 1326.jpg,52.0,154.0
Data/Image_1723634502675061 1327.jpg,54.0,158.0
Data/Image_1723634502694297 1328.jpg,54.0,158.0
Data/Image_1723634502737632 1329.jpg,58.0,164.0
Data/Image_1723634502763484 1330.jpg,58.0,164.0
Data/Image_1723634502793087 1331.jpg,63.0,164.0
Data/Image_1723634502844385 1332.jpg,63.0,170.0
Data/Image_172363450285987 1333.jpg,63.0,170.0
Data/Image_172363450290619 1334.jpg,63.0,170.0
Data/Image_1723634502925518 1335.jpg,63.0,170.0
Data/Image_172363450298189 1336.jpg,62.0,173.0
Data/Image_172363450299621 1337.jpg,62.0,173.0
Data/Image_1723634503039584 1338.jpg,61.0,173.0
Data/Image_1723634503060689 1339.jpg,61.0,181.0
Data/Image_1723634503111571 1340.jpg,54.0,181.0
Data/Image_1723634503126306 1341.jpg,54.0,181.0
Data/Image_1723634503174049 1342.jpg,51.0,192.0
Data/Image_1723634503192425 1343.jpg,51.0,192.0
Data/Image_1723634503243504 1344.jpg,51.0,204.0
Data/Image_1723634503258624 1345.jpg,51.0,204.0
Data/Image_1723634503306189 1346.jpg,51.0,219.0
Data/Image_1723634503327154 1347.jpg,51.0,219.0
Data/Image_1723634503374978 1348.jpg,50.0,223.0
Data/Image_1723634503393442 1349.jpg,50.0,223.0
Data/Image_1723634503443344 1350.jpg,48.0,222.0
Data/Image_1723634503461974 1351.jpg,51.0,222.0
Data/Image_1723634503504549 1352.jpg,51.0,232.0
Data/Image_1723634503525724 1353.jpg,58.0,232.0
Data/Image_1723634503575104 1354.jpg,58.0,247.0
Data/Image_1723634503594635 1355.jpg,58.0,247.0
Data/Image_1723634503637755 1356.jpg,61.0,252.0
Data/Image_1723634503661203 1357.jpg,61.0,252.0
Data/Image_1723634503709216 1358.jpg,61.0,253.0
Data/Image_1723634503726341 1359.jpg,61.0,253.0
Data/Image_1723634503771034 1360.jpg,63.0,253.0
Data/Image_1723634503791916 1361.jpg,63.0,253.0
Data/Image_1723634503842462 1362.jpg,58.0,245.0
Data/Image_1723634503859317 1363.jpg,58.0,245.0
Data/Image_1723634503892295 1364.jpg,58.0,231.0
Data/Image_1723634503937635 1365.jpg,46.0,223.0
Data/Image_1723634503960251 1366.jpg,46.0,223.0
Data/Image_1723634504006063 1367.jpg,35.0,221.0
Data/Image_1723634504026782 1368.jpg,35.0,221.0
Data/Image_1723634504075303 1369.jpg,35.0,220.0
Data/Image_1723634504092168 1370.jpg,35.0,220.0
Data/Image_1723634504143236 1371.jpg,35.0,220.0
Data/Image_1723634504158534 1372.jpg,35.0,220.0
Data/Image_172363450419278 1373.jpg,35.0,224.0
Data/Image_1723634504227201 1374.jpg,35.0,224.0
Data/Image_1723634504260559 1375.jpg,35.0,226.0
Data/Image_1723634504293509 1376.jpg,37.0,226.0
Data/Image_172363450434019 1377.jpg,52.0,225.0
Data/Image_1723634504359529 1378.jpg,52.0,224.0
Data/Image_1723634504411249 1379.jpg,59.0,224.0
Data/Image_1723634504425839 1380.jpg,59.0,224.0
Data/Image_1723634504471246 1381.jpg,51.0,224.0
Data/Image_1723634504491231 1382.jpg,51.0,224.0
Data/Image_1723634504539974 1383.jpg,46.0,225.0
Data/Image_1723634504561074 1384.jpg,46.0,224.0
Data/Image_1723634504609247 1385.jpg,45.0,224.0
Data/Image_1723634504626841 1386.jpg,45.0,224.0
Data/Image_1723634504678036 1387.jpg,42.0,223.0
Data/Image_1723634504692183 1388.jpg,42.0,223.0
Data/Image_1723634504737695 1389.jpg,38.0,221.0
Data/Image_1723634504758151 1390.jpg,38.0,221.0
Data/Image_1723634504806448 1391.jpg,37.0,220.0
Data/Image_1723634504828158 1392.jpg,37.0,220.0
Data/Image_172363450487497 1393.jpg,42.0,219.0
Data/Image_1723634504893738 1394.jpg,42.0,219.0
Data/Image_1723634504944062 1395.jpg,49.0,220.0
Data/Image_1723634504959641 1396.jpg,52.0,220.0
Data/Image_1723634505003632 1397.jpg,52.0,220.0
Data/Image_1723634505025789 1398.jpg,52.0,220.0
Data/Image_1723634505073752 1399.jpg,60.0,222.0
Data/Image_1723634505091501 1400.jpg,60.0,222.0
Data/Image_1723634505143575 1401.jpg,60.0,221.0
Data/Image_1723634505160834 1402.jpg,62.0,221.0
Data/Image_1723634505193596 1403.jpg,62.0,221.0
Data/Image_1723634505241796 1404.jpg,56.0,221.0
Data/Image_1723634505259636 1405.jpg,56.0,221.0
Data/Image_1723634505303479 1406.jpg,56.0,216.0
Data/Image_1723634505326304 1407.jpg,45.0,216.0
Data/Image_1723634505372435 1408.jpg,37.0,202.0
Data/Image_1723634505392714 1409.jpg,37.0,202.0
Data/Image_1723634505439867 1410.jpg,35.0,202.0
Data/Image_1723634505461149 1411.jpg,35.0,202.0
Data/Image_172363450550927 1412.jpg,35.0,200.0
Data/Image_1723634505527085 1413.jpg,35.0,200.0
Data/Image_172363450557809 1414.jpg,35.0,197.0
Data/Image_1723634505592562 1415.jpg,35.0,197.0
Data/Image_1723634505628043 1416.jpg,35.0,197.0
Data/Image_1723634505660199 1417.jpg,38.0,198.0
Data/Image_172363450570927 1418.jpg,61.0,199.0
Data/Image_1723634505725337 1419.jpg,61.0,199.0
Data/Image_1723634505761528 1420.jpg,61.0,199.0
Data/Image_1723634505792257 1421.jpg,66.0,199.0
Data/Image_1723634505841857 1422.jpg,67.0,203.0
Data/Image_1723634505859084 1423.jpg,67.0,203.0
Data/Image_1723634505904039 1424.jpg,67.0,192.0
Data/Image_1723634505926083 1425.jpg,68.0,192.0
Data/Image_1723634505975398 1426.jpg,68.0,192.0
Data/Image_172363450599232 1427.jpg,68.0,192.0
Data/Image_1723634506043581 1428.jpg,48.0,188.0
Data/Image_1723634506061751 1429.jpg,44.0,188.0
Data/Image_1723634506111263 1430.jpg,35.0,188.0
Data/Image_1723634506127288 1431.jpg,35.0,188.0
Data/Image_1723634506160169 1432.jpg,35.0,189.0
Data/Image_1723634506206291 1433.jpg,35.0,189.0
Data/Image_1723634506225751 1434.jpg,35.0,189.0
Data/Image_1723634506274868 1435.jpg,35.0,191.0
Data/Image_1723634506291389 1436.jpg,35.0,191.0
Data/Image_1723634506334832 1437.jpg,35.0,192.0
Data/Image_1723634506361461 1438.jpg,35.0,192.0
Data/Image_1723634506411333 1439.jpg,40.0,195.0
Data/Image_1723634506426936 1440.jpg,40.0,195.0
Data/Image_1723634506459886 1441.jpg,40.0,195.0
Data/Image_1723634506509545 1442.jpg,57.0,194.0
Data/Image_1723634506527613 1443.jpg,57.0,194.0
Data/Image_1723634506571341 1444.jpg,55.0,194.0
Data/Image_1723634506592081 1445.jpg,55.0,194.0
Data/Image_1723634506639802 1446.jpg,49.0,196.0
Data/Image_1723634506661116 1447.jpg,49.0,194.0
Data/Image_172363450670918 1448.jpg,45.0,188.0
Data/Image_1723634506727078 1449.jpg,45.0,188.0
Data/Image_1723634506777762 1450.jpg,43.0,185.0
Data/Image_1723634506792835 1451.jpg,43.0,185.0
Data/Image_1723634506826089 1452.jpg,43.0,185.0
Data/Image_1723634506871487 1453.jpg,38.0,188.0
Data/Image_1723634506891838 1454.jpg,38.0,188.0
Data/Image_1723634506941676 1455.jpg,50.0,191.0
Data/Image_1723634506961169 1456.jpg,50.0,191.0
Data/Image_1723634507013237 1457.jpg,57.0,191.0
Data/Image_1723634507026976 1458.jpg,57.0,191.0
Data/Image_1723634507075157 1459.jpg,57.0,194.0
Data/Image_1723634507092693 1460.jpg,57.0,194.0
Data/Image_1723634507137791 1461.jpg,54.0,193.0
Data/Image_1723634507158759 1462.jpg,54.0,193.0
Data/Image_1723634507209373 1463.jpg,54.0,193.0
Data/Image_1723634507225414 1464.jpg,54.0,193.0
Data/Image_172363450727926 1465.jpg,51.0,193.0
Data/Image_1723634507294622 1466.jpg,51.0,178.0
Data/Image_1723634507339727 1467.jpg,42.0,178.0
Data/Image_1723634507359739 1468.jpg,42.0,175.0
Data/Image_1723634507409511 1469.jpg,35.0,177.0
Data/Image_1723634507426682 1470.jpg,35.0,177.0
Data/Image_1723634507477574 1471.jpg,35.0,177.0
Data/Image_1723634507492265 1472.jpg,35.0,177.0
Data/Image_172363450753761 1473.jpg,35.0,176.0
Data/Image_1723634507557356 1474.jpg,35.0,176.0
Data/Image_1723634507615113 1475.jpg,35.0,177.0
Data/Image_1723634507626582 1476.jpg,35.0,177.0
Data/Image_1723634507674814 1477.jpg,35.0,177.0
Data/Image_1723634507694531 1478.jpg,35.0,177.0
Data/Image_1723634507743464 1479.jpg,35.0,180.0
Data/Image_1723634507761563 1480.jpg,35.0,180.0
Data/Image_172363450780336 1481.jpg,35.0,179.0
Data/Image_1723634507824963 1482.jpg,35.0,179.0
Data/Image_1723634507871207 1483.jpg,33.0,182.0
Data/Image_1723634507893481 1484.jpg,33.0,182.0
Data/Image_1723634507939566 1485.jpg,33.0,184.0
Data/Image_1723634507959665 1486.jpg,33.0,189.0
Data/Image_1723634508009167 1487.jpg,32.0,188.0
Data/Image_1723634508027342 1488.jpg,32.0,188.0
Data/Image_1723634508069556 1489.jpg,30.0,189.0
Data/Image_1723634508092383 1490.jpg,30.0,189.0
Data/Image_172363450812477 1491.jpg,30.0,189.0
Data/Image_1723634508171368 1492.jpg,23.0,188.0
Data/Image_1723634508195618 1493.jpg,23.0,188.0
Data/Image_172363450822729 1494.jpg,23.0,188.0
Data/Image_1723634508274831 1495.jpg,22.0,189.0
Data/Image_1723634508293647 1496.jpg,22.0,189.0
Data/Image_1723634508343225 1497.jpg,21.0,190.0
Data/Image_1723634508359985 1498.jpg,21.0,190.0
Data/Image_1723634508403229 1499.jpg,21.0,191.0
Data/Image_1723634508425101 1500.jpg,21.0,191.0
Data/Image_1723634508479687 1501.jpg,21.0,195.0
Data/Image_1723634508494949 1502.jpg,21.0,205.0
Data/Image_1723634508539546 1503.jpg,19.0,205.0
Data/Image_172363450856093 1504.jpg,19.0,205.0
Data/Image_1723634508609167 1505.jpg,19.0,206.0
Data/Image_1723634508629046 1506.jpg,19.0,206.0
Data/Image_1723634508677872 1507.jpg,19.0,206.0
Data/Image_1723634508692374 1508.jpg,19.0,206.0
Data/Image_1723634508727089 1509.jpg,19.0,206.0
Data/Image_1723634508759354 1510.jpg,16.0,208.0
Data/Image_1723634508806506 1511.jpg,12.0,211.0
Data/Image_1723634508828519 1512.jpg,12.0,211.0
Data/Image_1723634508874559 1513.jpg,10.0,224.0
Data/Image_1723634508893229 1514.jpg,10.0,224.0
Data/Image_1723634508943027 1515.jpg,6.0,220.0
Data/Image_172363450895803 1516.jpg,8.0,220.0
Data/Image_1723634509003001 1517.jpg,8.0,220.0
Data/Image_1723634509024862 1518.jpg,9.0,220.0
Data/Image_1723634509071219 1519.jpg,10.0,215.0
Data/Image_1723634509094792 1520.jpg,10.0,215.0
Data/Image_1723634509139569 1521.jpg,13.0,208.0
Data/Image_1723634509159066 1522.jpg,13.0,200.0
Data/Image_172363450920915 1523.jpg,17.0,199.0
Data/Image_1723634509224819 1524.jpg,17.0,199.0
Data/Image_17236345092692 1525.jpg,18.0,198.0
Data/Image_1723634509290672 1526.jpg,18.0,198.0
Data/Image_1723634509337996 1527.jpg,18.0,201.0
Data/Image_1723634509357579 1528.jpg,18.0,201.0
Data/Image_1723634509405995 1529.jpg,18.0,203.0
Data/Image_1723634509425616 1530.jpg,18.0,203.0
Data/Image_1723634509474794 1531.jpg,29.0,202.0
Data/Image_172363450949274 1532.jpg,29.0,202.0
Data/Image_172363450954321 1533.jpg,29.0,202.0
Data/Image_1723634509558689 1534.jpg,22.0,202.0
Data/Image_1723634509592498 1535.jpg,22.0,203.0
Data/Image_1723634509624525 1536.jpg,22.0,203.0
Data/Image_1723634509671292 1537.jpg,10.0,206.0
Data/Image_1723634509690334 1538.jpg,10.0,206.0
Data/Image_1723634509739599 1539.jpg,9.0,206.0
Data/Image_1723634509760428 1540.jpg,9.0,215.0
Data/Image_1723634509809789 1541.jpg,9.0,218.0
Data/Image_1723634509825861 1542.jpg,9.0,218.0
Data/Image_1723634509869499 1543.jpg,11.0,213.0
Data/Image_1723634509891613 1544.jpg,11.0,213.0
Data/Image_1723634509937608 1545.jpg,25.0,202.0
Data/Image_1723634509956885 1546.jpg,25.0,202.0
Data/Image_1723634510006017 1547.jpg,35.0,194.0
Data/Image_1723634510035224 1548.jpg,35.0,194.0
Data/Image_1723634510074888 1549.jpg,36.0,191.0
Data/Image_1723634510092075 1550.jpg,36.0,191.0
Data/Image_1723634510143441 1551.jpg,46.0,174.0
Data/Image_1723634510158701 1552.jpg,51.0,174.0
Data/Image_1723634510206034 1553.jpg,51.0,174.0
Data/Image_1723634510224196 1554.jpg,51.0,174.0
Data/Image_1723634510274332 1555.jpg,49.0,175.0
Data/Image_1723634510290046 1556.jpg,49.0,175.0
Data/Image_1723634510338102 1557.jpg,41.0,179.0
Data/Image_1723634510358913 1558.jpg,41.0,179.0
Data/Image_172363451040606 1559.jpg,35.0,175.0
Data/Image_1723634510425233 1560.jpg,35.0,175.0
Data/Image_1723634510475305 1561.jpg,36.0,172.0
Data/Image_1723634510491383 1562.jpg,36.0,172.0
Data/Image_1723634510535215 1563.jpg,44.0,172.0
Data/Image_1723634510556902 1564.jpg,44.0,172.0
Data/Image_1723634510606015 1565.jpg,50.0,180.0
Data/Image_1723634510625964 1566.jpg,50.0,180.0
Data/Image_1723634510677603 1567.jpg,52.0,170.0
Data/Image_172363451069451 1568.jpg,52.0,170.0
Data/Image_1723634510739304 1569.jpg,65.0,170.0
Data/Image_1723634510759646 1570.jpg,65.0,168.0
Data/Image_172363451081094 1571.jpg,70.0,168.0
Data/Image_172363451082577 1572.jpg,70.0,168.0
Data/Image_1723634510873549 1573.jpg,60.0,172.0
Data/Image_172363451089229 1574.jpg,60.0,172.0
Data/Image_1723634510943516 1575.jpg,60.0,167.0
Data/Image_1723634510960765 1576.jpg,41.0,167.0
Data/Image_1723634511011457 1577.jpg,35.0,166.0
Data/Image_1723634511028197 1578.jpg,35.0,166.0
Data/Image_1723634511071081 1579.jpg,35.0,168.0
Data/Image_1723634511092522 1580.jpg,35.0,168.0
Data/Image_1723634511142643 1581.jpg,35.0,172.0
Data/Image_1723634511157792 1582.jpg,35.0,172.0
Data/Image_1723634511209089 1583.jpg,35.0,171.0
Data/Image_1723634511234066 1584.jpg,35.0,171.0
Data/Image_1723634511260947 1585.jpg,35.0,171.0
Data/Image_1723634511311103 1586.jpg,35.0,173.0
Data/Image_1723634511335021 1587.jpg,35.0,173.0
Data/Image_1723634511371134 1588.jpg,40.0,179.0
Data/Image_1723634511392618 1589.jpg,40.0,179.0
Data/Image_1723634511450935 1590.jpg,49.0,179.0
Data/Image_1723634511461307 1591.jpg,49.0,179.0
Data/Image_172363451149176 1592.jpg,49.0,172.0
Data/Image_1723634511539317 1593.jpg,50.0,172.0
Data/Image_1723634511560798 1594.jpg,50.0,167.0
Data/Image_1723634511609165 1595.jpg,47.0,168.0
Data/Image_1723634511627253 1596.jpg,47.0,168.0
Data/Image_1723634511678108 1597.jpg,45.0,173.0
Data/Image_1723634511692233 1598.jpg,45.0,173.0
Data/Image_1723634511737634 1599.jpg,41.0,174.0
Data/Image_1723634511759674 1600.jpg,41.0,174.0
Data/Image_1723634511806694 1601.jpg,35.0,177.0
Data/Image_1723634511824262 1602.jpg,35.0,177.0
Data/Image_1723634511875686 1603.jpg,35.0,177.0
Data/Image_1723634511895465 1604.jpg,35.0,177.0
Data/Image_1723634511943218 1605.jpg,35.0,187.0
Data/Image_1723634511959874 1606.jpg,35.0,187.0
Data/Image_1723634512003623 1607.jpg,35.0,180.0
Data/Image_1723634512025326 1608.jpg,35.0,180.0
Data/Image_1723634512071452 1609.jpg,35.0,176.0
Data/Image_1723634512090422 1610.jpg,35.0,176.0
Data/Image_1723634512139641 1611.jpg,35.0,195.0
Data/Image_1723634512162486 1612.jpg,35.0,197.0
Data/Image_1723634512209101 1613.jpg,35.0,196.0
Data/Image_1723634512225593 1614.jpg,35.0,196.0
Data/Image_172363451227756 1615.jpg,35.0,197.0
Data/Image_1723634512292011 1616.jpg,35.0,197.0
Data/Image_1723634512338066 1617.jpg,35.0,195.0
Data/Image_1723634512357165 1618.jpg,35.0,195.0
Data/Image_1723634512406063 1619.jpg,35.0,196.0
Data/Image_1723634512423442 1620.jpg,35.0,196.0
Data/Image_1723634512474932 1621.jpg,35.0,197.0
